Path,SPM,Mask,Kernel,CohD,ClusterSize,Total,PosAct,PosPre,TP,NegActBound,PosPreBound
SPM_s150,spmT_Pos_s150_p05_d9.495917e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.9495917,64,2033600,5400,207,166,162240,41
SPM_s150,spmT_Pos_s150_p05_d9.495917e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,150,0.9495917,125,2033600,5400,0,0,162240,0
SPM_s300,spmT_Pos_s300_p05_d5.464776e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.5464776,1,2033600,5400,100902,4434,820470,44722
SPM_s300,spmT_Pos_s300_p05_d5.464776e-01_c08.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.5464776,8,2033600,5400,95337,4422,820470,42804
SPM_s300,spmT_Pos_s300_p05_d5.464776e-01_c27.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.5464776,27,2033600,5400,79237,4390,820470,36855
SPM_s300,spmT_Pos_s300_p05_d5.464776e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.5464776,64,2033600,5400,58066,4324,820470,29498
SPM_s300,spmT_Pos_s300_p05_d5.464776e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.5464776,125,2033600,5400,39829,4111,820470,22013
SPM_s300,spmT_Pos_s300_p05_d8.061161e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.8061161,1,2033600,5400,22633,2209,820470,10118
SPM_s300,spmT_Pos_s300_p05_d8.061161e-01_c08.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.8061161,8,2033600,5400,17842,2196,820470,8158
SPM_s300,spmT_Pos_s300_p05_d8.061161e-01_c27.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.8061161,27,2033600,5400,9550,2147,820470,4718
SPM_s300,spmT_Pos_s300_p05_d8.061161e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.8061161,64,2033600,5400,5234,1892,820470,2784
SPM_s300,spmT_Pos_s300_p05_d8.061161e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.8061161,125,2033600,5400,3491,1605,820470,1822
SPM_s300,spmT_Pos_s300_p05_d9.495917e-01_c01.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.9495917,1,2033600,5400,8745,642,820470,4044
SPM_s300,spmT_Pos_s300_p05_d9.495917e-01_c08.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.9495917,8,2033600,5400,5561,629,820470,2685
SPM_s300,spmT_Pos_s300_p05_d9.495917e-01_c27.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.9495917,27,2033600,5400,1978,557,820470,1041
SPM_s300,spmT_Pos_s300_p05_d9.495917e-01_c64.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.9495917,64,2033600,5400,937,427,820470,510
SPM_s300,spmT_Pos_s300_p05_d9.495917e-01_c125.nii,./GridMasks/Binarized/s000_Grid_CohD_Mask_bin.nii,300,0.9495917,125,2033600,5400,0,0,820470,0
